trade_count,avg_hold_hours,avg_stop_distance_pips,avg_position_size,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,avg_spread_cost_per_trade,avg_slippage_cost_per_trade,avg_commission_cost_per_trade,avg_explicit_cost_per_trade,win_rate,avg_winner,avg_loser,profit_factor,max_drawdown,label,parameters
137,0.3704379562043796,4.974259645464097,11.277226277372261,57.04165589154756,-55.73060688217506,22.554452554744522,11.277226277372261,78.94058394160584,112.77226277372262,0.3722627737226277,845.717792717089,-590.3104717608081,0.8496043064269013,15284.509500000728,baseline_param_0,"{'min_sweep_atr': 0.12, 'min_reentry_fraction': 0.15, 'min_wick_fraction': 0.35, 'stop_atr': 0.9, 'target_atr': 1.8, 'timeout_bars': 16, 'direction': 'both'}"
74,0.46283783783783783,5.441119691119771,10.495270270270272,24.198677606175746,-80.75402509652696,20.990540540540543,10.495270270270272,73.46689189189189,104.95270270270271,0.35135135135135137,866.0864285714208,-593.6259374999987,0.7902790615673202,10003.234999999753,baseline_param_1,"{'min_sweep_atr': 0.18, 'min_reentry_fraction': 0.2, 'min_wick_fraction': 0.4, 'stop_atr': 1.0, 'target_atr': 2.0, 'timeout_bars': 20, 'direction': 'both'}"
