timestamp,equity,drawdown
2023-01-09 13:30:00,100000.0,0.0
2023-01-09 14:00:00,100334.68320201276,0.0
2023-01-09 14:30:00,100682.54000485475,0.0
2023-01-09 14:45:00,101025.50594407259,0.0
2023-01-09 15:30:00,101368.24223848738,0.0
2023-01-09 16:00:00,101732.9768269038,0.0
2023-01-09 16:30:00,102066.5325107936,0.0
2023-01-09 16:30:00,102408.02502203989,0.0
2023-01-23 07:15:00,102772.85507028291,0.0
2023-01-23 07:30:00,103134.93422992204,0.0
2023-01-23 07:30:00,103504.35227500707,0.0
2023-01-23 08:00:00,103838.14342185103,0.0
2023-01-23 09:15:00,104227.76521934522,0.0
2023-01-23 10:15:00,104606.28293851059,0.0
2023-01-23 11:00:00,104947.11290636932,0.0
2023-01-23 11:45:00,105301.43337171471,0.0
2023-01-23 12:00:00,105553.88005856107,0.0
2023-01-23 13:00:00,105792.73901540684,0.0
2023-01-23 14:30:00,106044.51831738657,0.0
2023-02-06 13:00:00,106372.69388192488,0.0
2023-02-06 13:45:00,106697.37652788404,0.0
2023-02-06 15:15:00,107040.18908301272,0.0
2023-02-06 15:30:00,107406.65706836908,0.0
2023-02-06 16:15:00,107746.42636279516,0.0
2023-02-20 07:30:00,108119.77901623769,0.0
2023-02-20 07:45:00,108512.01472763208,0.0
2023-02-20 08:15:00,108840.27030639935,0.0
2023-02-20 11:15:00,109195.75738300703,0.0
2023-02-20 11:45:00,109595.95705834476,0.0
2023-02-20 12:00:00,109939.93731594954,0.0
2023-02-20 12:30:00,110292.06893990052,0.0
2023-02-20 14:30:00,110703.42245655054,0.0
2023-02-20 15:15:00,111118.70786234524,0.0
2023-02-20 16:15:00,111589.72791844977,0.0
2023-02-20 16:30:00,112030.92490077807,0.0
2023-03-06 07:30:00,112481.23555995693,0.0
2023-03-06 08:30:00,112855.32768882712,0.0
2023-03-06 10:15:00,113155.07846023745,0.0
2023-03-06 16:00:00,111867.06653768633,1288.0119225511153
2023-03-20 07:45:00,112115.69010698727,1039.3883532501786
2023-03-20 08:15:00,112341.33682308583,813.7416371516156
2023-03-20 10:00:00,112598.35204640817,556.7264138292812
2023-03-20 11:00:00,112780.45967271809,374.6187875193573
2023-03-20 12:30:00,112995.34287565027,159.7355845871789
2023-03-20 12:30:00,113182.67923164801,0.0
2023-03-20 12:45:00,113387.2639596343,0.0
2023-03-20 14:00:00,113712.01274462433,0.0
2023-03-20 15:15:00,114053.78537400308,0.0
2023-03-20 15:45:00,114408.12539915588,0.0
2023-03-20 16:45:00,114850.60094428415,0.0
2023-04-03 07:45:00,115321.020793196,0.0
2023-04-03 08:30:00,115814.77629564618,0.0
2023-04-03 09:15:00,116328.58194345118,0.0
2023-04-03 10:00:00,116817.45776015706,0.0
2023-04-03 10:00:00,117302.10500471664,0.0
2023-04-03 11:00:00,117696.819194117,0.0
2023-04-03 11:15:00,118102.34429574241,0.0
2023-04-03 12:15:00,118479.67028193237,0.0
2023-04-03 12:45:00,118876.34108373841,0.0
2023-04-03 14:45:00,119279.131432557,0.0
2023-04-03 16:00:00,119641.96374499678,0.0
2023-04-03 16:45:00,120010.16591605639,0.0
2023-04-17 08:45:00,120426.05487025506,0.0
