label,strategy_name,parameters,trade_count,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,profit_factor,max_drawdown,avg_explicit_cost_per_trade
liquidity_sweep_reversal_param_0,liquidity_sweep_reversal,"{'min_sweep_atr': 0.12, 'min_reentry_fraction': 0.15, 'min_wick_fraction': 0.35, 'stop_atr': 0.9, 'target_atr': 1.8, 'timeout_bars': 16, 'direction': 'both'}",137,57.04165589154756,-55.73060688217506,0.8496043064269013,15284.509500000728,112.77226277372262
liquidity_sweep_reversal_param_1,liquidity_sweep_reversal,"{'min_sweep_atr': 0.18, 'min_reentry_fraction': 0.2, 'min_wick_fraction': 0.4, 'stop_atr': 1.0, 'target_atr': 2.0, 'timeout_bars': 20, 'direction': 'both'}",74,24.198677606175746,-80.75402509652696,0.7902790615673202,10003.234999999753,104.95270270270271
opening_drive_pullback_param_0,opening_drive_pullback,"{'impulse_body_atr': 0.9, 'break_buffer_atr': 0.1, 'max_pullback_fraction': 0.45, 'stop_atr': 1.0, 'target_atr': 1.8, 'timeout_bars': 20, 'direction': 'both'}",570,-19.18612606516412,-92.23998571428692,0.676581815166534,55510.24171428621,73.0538596491228
opening_drive_pullback_param_1,opening_drive_pullback,"{'impulse_body_atr': 1.1, 'break_buffer_atr': 0.15, 'max_pullback_fraction': 0.4, 'stop_atr': 1.1, 'target_atr': 2.1, 'timeout_bars': 24, 'direction': 'both'}",390,-51.96139780220417,-122.38524395605032,0.6056314116948418,49114.91814285962,70.42384615384614
