label,strategy_name,parameters,trade_count,avg_gross_pnl_per_trade,avg_net_pnl_per_trade,profit_factor,max_drawdown,avg_explicit_cost_per_trade
baseline_param_1,mean_reversion_after_expansion,"{'expansion_multiple': 2.2, 'stop_atr': 1.0, 'target_atr': 1.2, 'timeout_bars': 10, 'direction': 'both'}",568,17.937454225354568,-75.12328521126514,0.6925814522540605,49448.54914285574,93.06073943661971
redesign_exhaustion_wick,mean_reversion_exhaustion_wick,"{'expansion_multiple': 2.4, 'close_reversal_fraction': 0.35, 'wick_fraction': 0.3, 'stop_atr': 1.0, 'target_atr': 1.4, 'timeout_bars': 8, 'direction': 'both'}",12,-100.33921428570709,-186.80588095237374,0.5185641444789922,2241.670571428491,86.46666666666665
redesign_failed_follow_through,mean_reversion_failed_follow_through,"{'expansion_multiple': 2.2, 'confirm_retrace_fraction': 0.45, 'stop_atr': 1.0, 'target_atr': 1.3, 'timeout_bars': 8, 'direction': 'both'}",126,14.480824263039235,-102.23584240362744,0.6752937631003109,12881.716142857156,116.71666666666667
