strategy_name,parameter_index,parameters,trade_count,total_return,profit_factor,max_drawdown,return_to_max_drawdown,avg_explicit_cost_per_trade,data_quality_status,data_quality_warnings
mean_reversion_after_expansion,1,"{'expansion_multiple': 2.2, 'stop_atr': 1.0, 'target_atr': 1.2, 'timeout_bars': 10, 'direction': 'both'}",568,-42670.0259999986,0.6925814522540605,49448.54914285574,-0.8629176535943625,93.06073943661971,warning,3
session_breakout,1,"{'range_lookback': 18, 'breakout_buffer_atr': 0.2, 'stop_atr': 1.2, 'target_atr': 2.0, 'timeout_bars': 18, 'direction': 'both'}",1145,-78351.25714285798,0.6862206990644624,79569.62228571539,-0.9846880617519768,55.92419213973799,warning,3
